,store,address,phone,sido-gu
90,공주중동점,충청남도 공주시 웅진로 140(중동),041-852-8850,"['충청남도', '공주시']"
91,과학단지점,충청북도 청주시청원구 오창읍 오창중앙로 94,043-900-8292,"['충청북도', '청주시청원구']"
92,관기점,충청북도 보은군 마로면 관기송현로 95-1,043-542-9222,"['충청북도', '보은군']"
93,관산점,경기도 고양시덕양구 통일로802번길 71,031-963-2740,"['경기도', '고양시덕양구']"
94,관양1점,경기도 안양시동안구 관양동 1397-1 1층 101,031-388-5259,"['경기도', '안양시동안구']"
95,관음점,대구광역시 북구 관음동 1319-11,053-321-7855,"['대구광역시', '북구']"
96,관저1점,대전광역시 서구 관저동 981 원앙쇼핑109호,042-544-9292,"['대전광역시', '서구']"
97,관저2점,대전광역시 서구 관저동 1137-1 구봉5단지상가 103호,042-544-9922,"['대전광역시', '서구']"
98,광교점,"경기도 수원시영통구 대학1로 8번길 59, 1층103호(이의동)",031-214-1688,"['경기도', '수원시영통구']"
99,광나루점,"서울특별시 광진구 아차산로78길 165, 1층 102호(광장동)",02-455-5111,"['서울특별시', '광진구']"
100,광릉내점,경기도 남양주시 진접읍 광릉내로 83,031-527-9300,"['경기도', '남양주시']"
101,광명1점,경기도 광명시 오리로 937,02-2688-7025,"['경기도', '광명시']"
102,광명2점,경기도 광명시 광명동 348-20,02-2681-4280,"['경기도', '광명시']"
103,광명역점,"경기도 광명시 신기로17번길 6, 1층102호(일직동,케이스퀘어)",02-898-1618,"['경기도', '광명시']"
104,광산점,광주광역시 광산구 송정동 792-14,062-941-0550,"['광주광역시', '광산구']"
105,광안점,부산광역시 수영구 무학로33번길 55,051-753-8989,"['부산광역시', '수영구']"
106,광양점,전라남도 광양시 광양읍 인서중앙길 43,061-762-2828,"['전라남도', '광양시']"
107,광장동점,서울특별시 광진구 구의동 203-24,02-455-4566,"['서울특별시', '광진구']"
108,광주점,경기도 광주시 문화로 6(역동),031-763-6311,"['경기도', '광주시']"
109,광주지사, ,,[]
110,광천점,충청남도 홍성군 광천읍 광천리 244-7,041-642-0008,"['충청남도', '홍성군']"
111,광탄점,경기도 파주시 광탄면 혜음로 1127-1,031-947-3171,"['경기도', '파주시']"
112,광혜원점,충청북도 진천군 광혜원면 화랑5길 8,043-535-2170,"['충청북도', '진천군']"
113,괘법점,부산광역시 사상구 광장로37번길 71,051-908-3998,"['부산광역시', '사상구']"
114,괴산점,"충청북도 괴산군 괴산읍 읍내로11번길, 8-5",043-833-0444,"['충청북도', '괴산군']"
115,괴안1점,"경기도 부천시소사구 부광로8번길 39,104(괴안동)",032-343-4885,"['경기도', '부천시소사구']"
116,괴정1점,대전광역시 서구 괴정동 130-3,042-526-3222,"['대전광역시', '서구']"
117,교대앞점,강원도 춘천시 공지로 111 ,033-262-9355,"['강원도', '춘천시']"
118,교대역점,서울특별시 서초구 서초동 1640-1 1층,02-585-4066,"['서울특별시', '서초구']"
119,교하신도시점,경기도 파주시 숲속노을로 300,031-942-9272,"['경기도', '파주시']"
120,구곡현대점,강원도 원주시 남원로 492-14(단구동1576-3),033-764-9291,"['강원도', '원주시']"
121,구래점,경기도 김포시 김포한강9로 121,031-983-2153,"['경기도', '김포시']"
122,구례점,전라남도 구례군 구례읍 중앙로 35,061-782-8838,"['전라남도', '구례군']"
123,구로2동점,서울특별시 구로구 구로2동 726-32,02-854-1929,"['서울특별시', '구로구']"
124,구리남점,경기도 구리시 안골로20번길 28,031-569-9292,"['경기도', '구리시']"
125,구미송정점,경상북도 구미시 송정동 465-1,054-443-8592,"['경상북도', '구미시']"
126,구미옥계점,경상북도 구미시 흥안로1길 6-3,054-473-0192,"['경상북도', '구미시']"
127,구반월점,경기도 안산시상록구 건건동 632-4 1층,031-502-1140,"['경기도', '안산시상록구']"
128,구산점,경상남도 김해시 구산로 32-1,055-326-4470,"['경상남도', '김해시']"
129,구성마북점,경기도 용인시기흥구 연원로 5(마북동),031-286-3854,"['경기도', '용인시기흥구']"
130,구암점,전라북도 군산시 서당길 11(구암동),063-443-3396,"['전라북도', '군산시']"
131,구운점,"경기도 수원시권선구 구운로32, 1층(구운동)",031-292-6310,"['경기도', '수원시권선구']"
132,구월1동점,인천광역시 남동구 구월동 1217-2 103호,032-471-2484,"['인천광역시', '남동구']"
133,구의동점,서울특별시 광진구 자양로 322 (구의동),02-455-6200,"['서울특별시', '광진구']"
134,구포점,부산광역시 북구 구포동 391-9,051-337-5552,"['부산광역시', '북구']"
135,군남점,경기도 연천군 군남면 군남로 115,031-833-3355,"['경기도', '연천군']"
136,군산금호점,전라북도 군산시 나운동 489 금호타운상가 108,063-465-7546,"['전라북도', '군산시']"
137,군위점,경상북도 군위군 군위읍 서부리 57-1,054-382-3392,"['경상북도', '군위군']"
138,군자11점,경기도 안산시단원구 선부동 1078-4 가동상가 110,031-402-3842,"['경기도', '안산시단원구']"
139,군포당동점,"경기도 군포시 군포로510번길 25(당동, 당동누리에뜰해밀제1층118호)",031-454-8174,"['경기도', '군포시']"
140,궁동점(대전),대전광역시 유성구 궁동 404-7,042-823-2223,"['대전광역시', '유성구']"
141,권선점,경기도 수원시권선구 세권로 181번 13(권선동),031-233-8735,"['경기도', '수원시권선구']"
142,궐동대우점,경기도 오산시 청학로 173번길 18(수청동),031-375-1486,"['경기도', '오산시']"
143,근화점,전라남도 목포시 산정로 268-3,061-272-3294,"['전라남도', '목포시']"
144,금곡점,경기도 남양주시 금곡로 49,031-592-7921,"['경기도', '남양주시']"
145,금산2점,충청남도 금산군 금산읍 중도리 391-4,041-751-0152,"['충청남도', '금산군']"
146,금암점,전라북도 전주시덕진구 조경단로 44,063-254-6525,"['전라북도', '전주시덕진구']"
147,금오점,경기도 의정부시 금신로 398,031-847-3528,"['경기도', '의정부시']"
148,금왕점,충청북도 음성군 금왕읍 탑골길 18,043-878-1330,"['충청북도', '음성군']"
149,금장점,경상북도 경주시 현곡면 금장리 410 삼성APT상가 나동 103,054-775-8969,"['경상북도', '경주시']"
150,금촌주공점,경기도 파주시 가나무로 103,031-943-9955,"['경기도', '파주시']"
151,금호동점,광주광역시 서구 금호동 815 호반리젠시빌 상가,062-682-3392,"['광주광역시', '서구']"
152,금호로타리점,서울특별시 성동구 무수막길 89-2,02-2234-4870,"['서울특별시', '성동구']"
153,금호역점,서울특별시 성동구 금호동3가 1394-3,02-2238-6777,"['서울특별시', '성동구']"
154,기계점,경상북도 포항시북구 기계면 현내리 407-3번지,054-243-1820,"['경상북도', '포항시북구']"
155,기아점,경기도 광명시 소하동 1236-7,02-898-1951,"['경기도', '광명시']"
156,기업도시점(원주),강원도 원주시 지정면 신지정로295,033-744-7310,"['강원도', '원주시']"
157,기업도시점(충주),충청북도 충주시 중앙탑면 원앙9길 15 ,043-842-7755,"['충청북도', '충주시']"
158,기장점,부산광역시 기장군 기장읍 대라리 129-1,051-722-9292,"['부산광역시', '기장군']"
159,기지시점,충청남도 당진시 송악읍 기지시리 161-1,041-356-1901,"['충청남도', '당진시']"
160,길동3점,"서울특별시 강동구 천호대로185길 89(길동, 1층)",02-470-3580,"['서울특별시', '강동구']"
161,길음점,서울특별시 성북구 길음로 74 길음뉴타운5단지 2-105,02-914-7777,"['서울특별시', '성북구']"
162,김해내동점,경상남도 김해시 평전로 154(내동),055-337-5686,"['경상남도', '김해시']"
163,김해중앙점,경상남도 김해시 부원동 603-7,055-328-9282,"['경상남도', '김해시']"
164,까치산점,서울특별시 강서구 화곡8동 342-7 1층 102,02-2696-2705,"['서울특별시', '강서구']"
165,꼬꼬점,경상북도 포항시북구 칠성천길 98,054-242-9291,"['경상북도', '포항시북구']"
166,꿈.연화점,경기도 부천시원미구 옥산로 86,032-657-1008,"['경기도', '부천시원미구']"
167,낙성대1점,서울특별시 관악구 봉천11동 1642-7,02-877-6451,"['서울특별시', '관악구']"
168,난곡점,서울특별시 관악구 문성로16가길 43,02-859-7272,"['서울특별시', '관악구']"
169,남목점,울산광역시 동구 동해안로 40-2(동부동),052-234-3310,"['울산광역시', '동구']"
170,남부점,강원도 원주시 남원로 617-2(명륜동),033-762-3727,"['강원도', '원주시']"
171,남양주도곡점,경기도 남양주시 와부읍 덕소로 194-14,031-577-9229,"['경기도', '남양주시']"
172,남원노암점,"전라북도 남원시 노암동 260, 한신아파트상가 102호",063-632-3181,"['전라북도', '남원시']"
173,남원점,제주특별자치도 서귀포시 남원읍 남원리 100-1,064-764-8292,"['제주특별자치도', '서귀포시']"
174,남창덕신점,울산광역시 울주군 온양읍 대안리 411-4,052-238-1030,"['울산광역시', '울주군']"
175,남촌점,경기도 오산시 성호대로 24-1(오산동),031-375-7337,"['경기도', '오산시']"
176,남해점,경상남도 남해군 남해읍 서변리 149-1,055-862-1400,"['경상남도', '남해군']"
177,내곡동점,강원도 강릉시 관대길 70,033-643-2808,"['강원도', '강릉시']"
178,내동2점,대전광역시 서구 내동 160-19,042-527-3111,"['대전광역시', '서구']"
179,내동점,경기도 부천시오정구 삼작로96번길 21(내동),032-675-9601,"['경기도', '부천시오정구']"
180,내면점,강원도 홍천군 내면읍 창촌로 48,033-432-0418,"['강원도', '홍천군']"
181,내포1점,충청남도 홍성군 홍북면 애향2길 2,041-634-8685,"['충청남도', '홍성군']"
182,노암점,강원도 강릉시 노가니길 1(노암동),033-647-8592,"['강원도', '강릉시']"
183,노은반석점,"대전광역시 유성구 노은서로266번 77, 104호(지상1층)",042-826-9282,"['대전광역시', '유성구']"
184,노학점,강원도 속초시 교동로  55(교동),033-636-5592,"['강원도', '속초시']"
185,녹양점,"경기도 의정부시 비우로20번길 29(가능동,지상1층)",031-879-9982,"['경기도', '의정부시']"
186,논산2점,충청남도 논산시 취암동 610-2,041-733-2396,"['충청남도', '논산시']"
187,논산대교점,충청남도 논산시 대교동 250-14,041-733-9955,"['충청남도', '논산시']"
188,논산주공점,"충청남도 논산시 논산대로 348번길 7, 상가-101(취암동,주공아파트)",041-733-5892,"['충청남도', '논산시']"
189,논현동점,"서울특별시 강남구 강남대로128길 27(논현동, 지상1층 102호)",02-515-5770,"['서울특별시', '강남구']"
190,농암점,경상북도 문경시 농암면 청암2길 10,054-571-3020,"['경상북도', '문경시']"
191,능곡점,경기도 고양시덕양구 토당로78번길 7-10(토당동),031-974-7747,"['경기도', '고양시덕양구']"
192,능주점,전라남도 화순군 능주면 죽수길50,061-373-3245,"['전라남도', '화순군']"
193,다인점,경상북도 의성군 다인면 서릉길 59,054-861-9988,"['경상북도', '의성군']"
194,단계점,강원도 원주시 원문로 85 1층(학성동),033-731-9292,"['강원도', '원주시']"
195,단계택지점,강원도 원주시 금불3길 34(단계동),033-743-6586,"['강원도', '원주시']"
196,단관점,강원도 원주시 단관길 163(관설동),033-763-9289,"['강원도', '원주시']"
197,단구점,강원도 원주시 치악로 1629 (단구동),033-763-8929,"['강원도', '원주시']"
198,단월동점,경기도 이천시 단월로 29(단월동),031-634-4547,"['경기도', '이천시']"
199,달동1점,울산광역시 남구 달동 1329-9,052-273-9292,"['울산광역시', '남구']"
200,달동2점,"울산광역시 남구 번영로107번길 3, 203(달동, 주공아파트)",052-269-9959,"['울산광역시', '남구']"
201,달전점,경상북도 포항시북구 흥해읍 도음로877번길 9 삼도미래타운106-106,054-262-4200,"['경상북도', '포항시북구']"
202,답십리점,"서울특별시 동대문구 전농로3길 52-2, 1층(답십리동)",02-2247-4880,"['서울특별시', '동대문구']"
203,당감점,부산광역시 부산진구 당감동 739-10,051-898-3392,"['부산광역시', '부산진구']"
204,당북점,경상북도 안동시 대안로 65-2,054-842-7474,"['경상북도', '안동시']"
205,당산동점,서울특별시 영등포구 영중로 114 (영등포동8가),02-2671-5559,"['서울특별시', '영등포구']"
206,당수동점,경기도 수원시권선구 당진로 14번길 57 상가 105(당수동),031-419-8450,"['경기도', '수원시권선구']"
207,당진1점,충청남도 당진시 당진중앙2로 54-5,041-352-9999,"['충청남도', '당진시']"
208,당진2점,충청남도 당진시 무수동로 195,041-357-8966,"['충청남도', '당진시']"
209,당진3점,충청남도 당진시 원당로 55(원당동),041-355-4343,"['충청남도', '당진시']"
210,당진신평점,충청남도 당진시 신평면 신평로 827,041-362-9288,"['충청남도', '당진시']"
211,대강점,충청북도 단양군 대강면 대강로 59-1,043-421-3392,"['충청북도', '단양군']"
212,대고점,"대전광역시 중구 테미로 31-1(대흥동, 1층)",042-256-6213,"['대전광역시', '중구']"
213,대광리점,경기도 연천군 신서면 도대로 3번길 33호,031-834-8009,"['경기도', '연천군']"
214,대구고성점,대구광역시 서구 원대로13길 16,053-354-9901,"['대구광역시', '서구']"
215,대구남산점,대구광역시 중구 남산로2길 13(남산동),053-255-5417,"['대구광역시', '중구']"
216,대구대명점,대구광역시 남구 두류공원로17길 48 (지하1층),053-656-9515,"['대구광역시', '남구']"
217,대구상동점,대구광역시 수성구 중동 502-3,053-761-3430,"['대구광역시', '수성구']"
218,대구서문점,대구광역시 서구 비산동 280-8,053-257-7235,"['대구광역시', '서구']"
219,대구송정점,대구광역시 동구 반야월로 379(신서동),053-964-5592,"['대구광역시', '동구']"
220,대구신당점,대구광역시 달서구 신당동 1808-5,053-584-3800,"['대구광역시', '달서구']"
221,대구지사, ,,[]
222,대구지산점,대구광역시 수성구 용학로35길 17,053-783-7890,"['대구광역시', '수성구']"
223,대림동산점,경기도 안성시 공도읍 양기리567-1,031-658-9192,"['경기도', '안성시']"
224,대림역점,서울특별시 구로구 구로중앙로8길 17,02-867-8292,"['서울특별시', '구로구']"
225,대림점,서울특별시 영등포구 대림로34길 14-1,02-842-4747,"['서울특별시', '영등포구']"
226,대명계대점,대구광역시 남구 대명동 1899-2,053-219-9992,"['대구광역시', '남구']"
227,대방동점,서울특별시 동작구 대방동 23-128,02-826-2282,"['서울특별시', '동작구']"
228,대봉점,대구광역시 중구 대봉동 121-241,053-426-5822,"['대구광역시', '중구']"
229,대산점,충청남도 서산시 대산읍 대산리 214-10,041-664-9400,"['충청남도', '서산시']"
230,대소점,충청북도 음성군 대소면 오태로99번길 12-4,043-881-8508,"['충청북도', '음성군']"
231,대송점,울산광역시 동구 화정동 164-11,052-236-3333,"['울산광역시', '동구']"
232,대신점,경기도 여주시 대신면 여양로 1456-4,031-884-3669,"['경기도', '여주시']"
233,대연점,부산광역시 남구 천제등로28번길 50,051-612-1186,"['부산광역시', '남구']"
234,대우점,인천광역시 부평구 산곡동 26-44 1층,032-523-7425,"['인천광역시', '부평구']"
235,대전용문점,대전광역시 서구 괴정동 425-16,042-524-8030,"['대전광역시', '서구']"
236,대전지사, ,,[]
237,대전터미널점,대전광역시 동구 동서대로1695번길 106,042-631-0666,"['대전광역시', '동구']"
238,대조동점,서울특별시 은평구 역말로9길 40-1. 1층(대조동),02-355-6360,"['서울특별시', '은평구']"
239,대진점,강원도 고성군 현내면 한나루로 112-1,033-682-0303,"['강원도', '고성군']"
240,대치동점,서울특별시 강남구 남부순환로 2917 (1층 108호),02-562-4005,"['서울특별시', '강남구']"
241,대학로점,강원도 삼척시 대학로 45(당저동),033-573-4298,"['강원도', '삼척시']"
242,대화장성점,경기도 고양시일산서구 호수로 838번지 22,031-916-1233,"['경기도', '고양시일산서구']"
243,대화점(강원),강원도 평창군 대화면 대화3길 46,033-333-2001,"['강원도', '평창군']"
244,덕산점,충청북도 진천군 덕산면 덕금로 809,043-536-5888,"['충청북도', '진천군']"
245,덕절리점,경기도 화성시 정남면 발안로 1177,031-373-2660,"['경기도', '화성시']"
246,덕정점,경기도 양주시 덕정길 23,031-858-2281,"['경기도', '양주시']"
247,덕천점,경기도 안양시만안구 덕천로128번길 18(안양동),031-444-0406,"['경기도', '안양시만안구']"
248,덕풍동점,"경기도 하남시 신장동 430-7 성원쌍떼빌 104호, 105호",031-793-9922,"['경기도', '하남시']"
249,도고점,충청남도 아산시 도고면 신언리 96-10,041-544-8746,"['충청남도', '아산시']"
250,도구점,경상북도 포항시남구 동해면 일월로 116,054-286-2970,"['경상북도', '포항시남구']"
251,도당점,경기도 부천시원미구 도당동 284-15 1층,032-677-7500,"['경기도', '부천시원미구']"
252,도련점,"제주특별자치도 제주시 삼봉로 115, 미듬하나로맨션상가 103",064-751-9282,"['제주특별자치도', '제주시']"
253,도림주공점,인천광역시 남동구 논고개로 299,032-434-8292,"['인천광역시', '남동구']"
254,도립대점,강원도 강릉시  주문진읍 연주로 261-1,033-661-7282,"['강원도', '강릉시']"
255,도마점,대전광역시 서구 도마1동 129-30,042-522-0704,"['대전광역시', '서구']"
256,도봉점,"서울특별시 도봉구 도봉로164길 10(도봉동, 1층)",02-955-8695,"['서울특별시', '도봉구']"
257,도안지구점,대전광역시 유성구 원신흥남로11번 6-22 (102호),042-822-9283,"['대전광역시', '유성구']"
258,도영점,강원도 원주시 남원로 527번길 6-34(명륜동),033-762-8668,"['강원도', '원주시']"
259,도평점,경기도 광주시 초월읍 현산로 89-6,031-768-9266,"['경기도', '광주시']"
260,도화동점,서울특별시 마포구 도화동 268,02-702-2122,"['서울특별시', '마포구']"
261,독립문점,서울특별시 종로구 통일로 222(교북동),02-722-9916,"['서울특별시', '종로구']"
262,독산1점,"서울특별시 금천구 가산로 80-2, 지상1층(독산동)",02-853-0580,"['서울특별시', '금천구']"
263,독산3점,서울특별시 금천구 독산로 319 (독산동),02-867-1780,"['서울특별시', '금천구']"
264,동광양점,전라남도 광양시 중마로 201,061-795-8952,"['전라남도', '광양시']"
265,동대동점,충청남도 보령시 작은오랏2길 60-6,041-936-8865,"['충청남도', '보령시']"
266,동두천역전점,경기도 동두천시 생연로 120,031-862-2973,"['경기도', '동두천시']"
267,동두천터미널점,경기도 동두천시 중앙로265번길 15(생연동),031-862-7853,"['경기도', '동두천시']"
268,동명동점,강원도 속초시 번영로105번길 19(동명동),033-631-2530,"['강원도', '속초시']"
269,동명점,경상북도 칠곡군 동명면 봉암1길 7,054-976-4840,"['경상북도', '칠곡군']"
270,동문점,경기도 용인시수지구 수풍로 53(풍덕천동),031-261-5191,"['경기도', '용인시수지구']"
271,동보점,강원도 원주시 진광길 30(우산동),033-744-9028,"['강원도', '원주시']"
272,동삼점,부산광역시 영도구 태종로 688-2(동삼동),051-405-3377,"['부산광역시', '영도구']"
273,동송점,강원도 철원군 동송읍 금학로 232,033-455-4490,"['강원도', '철원군']"
274,동아점,경기도 고양시일산동구 강송로 196 동아아파트상가 1-3,031-902-0203,"['경기도', '고양시일산동구']"
275,동암남점,인천광역시 부평구 경인로701번길 43 1층,032-421-8180,"['인천광역시', '부평구']"
